impl,n,capacity,status,time,result,error
impl_1,8,51,ok,0.0001047000041580759,302,
impl_2,8,51,ok,9.57000011112541e-05,302,
impl_3,8,51,ok,1.8900005670730025e-05,302,
impl_4,8,51,ok,0.00012660000356845558,302,
impl_1,8,37,ok,8.710000111022964e-05,394,
impl_2,8,37,ok,8.129999332595617e-05,394,
impl_3,8,37,ok,7.800001185387373e-06,362,
impl_4,8,37,ok,9.069999941857532e-05,394,
impl_1,8,42,ok,9.919999865815043e-05,399,
impl_2,8,42,ok,7.539999933214858e-05,399,
impl_3,8,42,ok,6.299997039604932e-06,399,
impl_4,8,42,ok,9.929999941959977e-05,399,
impl_1,8,42,ok,9.300000237999484e-05,366,
impl_2,8,42,ok,7.449999975506216e-05,366,
impl_3,8,42,ok,6.100002792663872e-06,366,
impl_4,8,42,ok,9.859999408945441e-05,366,
impl_1,8,40,ok,8.630000229459256e-05,288,
impl_2,8,40,ok,7.069999992381781e-05,288,
impl_3,8,40,ok,5.699999746866524e-06,288,
impl_4,8,40,ok,0.00011119999544462189,288,
impl_1,12,83,ok,0.001337299996521324,499,
impl_2,12,83,ok,0.0002505000011296943,499,
impl_3,12,83,ok,8.39999847812578e-06,473,
impl_4,12,83,ok,0.00030449999758275226,499,
impl_1,12,67,ok,0.0014411999945878051,549,
impl_2,12,67,ok,0.00020319999748608097,549,
impl_3,12,67,ok,8.499999239575118e-06,549,
impl_4,12,67,ok,0.00024159999884432182,549,
impl_1,12,52,ok,0.00144160000490956,499,
impl_2,12,52,ok,0.00015040000289445743,499,
impl_3,12,52,ok,1.2499993317760527e-05,487,
impl_4,12,52,ok,0.0001931000006152317,499,
impl_1,12,59,ok,0.0014833999957772903,407,
impl_2,12,59,ok,0.0002632000032463111,407,
impl_3,12,59,ok,1.1800002539530396e-05,407,
impl_4,12,59,ok,0.0002510999984224327,407,
impl_1,12,70,ok,0.0015830000047571957,448,
impl_2,12,70,ok,0.0002234999992651865,448,
impl_3,12,70,ok,1.1299998732283711e-05,425,
impl_4,12,70,ok,0.0002885000067180954,448,
impl_1,16,80,ok,0.01978889999736566,703,
impl_2,16,80,ok,0.00029829999402863905,703,
impl_3,16,80,ok,1.599999814061448e-05,670,
impl_4,16,80,ok,0.0003749999959836714,703,
impl_1,16,80,ok,0.0196561999982805,553,
impl_2,16,80,ok,0.0002925000007962808,553,
impl_3,16,80,ok,1.599999814061448e-05,553,
impl_4,16,80,ok,0.00036530000215861946,553,
impl_1,16,75,ok,0.018539799995778594,656,
impl_2,16,75,ok,0.000279799998679664,656,
impl_3,16,75,ok,1.5400000847876072e-05,656,
impl_4,16,75,ok,0.00034130000130971894,656,
impl_1,16,87,ok,0.018735600002401043,615,
impl_2,16,87,ok,0.00032500000088475645,615,
impl_3,16,87,ok,1.6099998902063817e-05,615,
impl_4,16,87,ok,0.0004091000009793788,615,
impl_1,16,75,ok,0.02436170000146376,616,
impl_2,16,75,ok,0.00028000000020256266,616,
impl_3,16,75,ok,1.4299999747890979e-05,616,
impl_4,16,75,ok,0.0003431000004638918,616,
impl_1,20,91,ok,0.302479999998468,869,
impl_2,20,91,ok,0.00039429999742424116,869,
impl_3,20,91,ok,1.630000042496249e-05,869,
impl_4,20,91,ok,0.0005035000067437068,869,
impl_1,20,89,ok,0.30551379999815254,962,
impl_2,20,89,ok,0.00046829999337205663,962,
impl_3,20,89,ok,2.0699997548945248e-05,962,
impl_4,20,89,ok,0.0005263999992166646,962,
impl_1,20,114,ok,0.3107419999942067,682,
impl_2,20,114,ok,0.0005297000025166199,682,
impl_3,20,114,ok,1.920000067912042e-05,677,
impl_4,20,114,ok,0.0006933999975444749,682,
impl_1,20,128,ok,0.37503909999941243,777,
impl_2,20,128,ok,0.0006314999991445802,777,
impl_3,20,128,ok,1.8399994587525725e-05,749,
impl_4,20,128,ok,0.0007456000021193177,777,
impl_1,20,102,ok,0.3197310000032303,738,
impl_2,20,102,ok,0.00047759999870322645,738,
impl_3,20,102,ok,1.9899998733308166e-05,721,
impl_4,20,102,ok,0.0005850000015925616,738,
impl_1,24,144,ok,5.107385499999509,899,
impl_2,24,144,ok,0.0010847000012290664,899,
impl_3,24,144,ok,2.1699997887481004e-05,888,
impl_4,24,144,ok,0.001036900001054164,899,
impl_1,24,135,ok,5.523939000006067,907,
impl_2,24,135,ok,0.0008170000000973232,907,
impl_3,24,135,ok,1.9299994164612144e-05,907,
impl_4,24,135,ok,0.0009506999995210208,907,
impl_1,24,123,ok,5.109905800003617,995,
impl_2,24,123,ok,0.0010557999994489364,995,
impl_3,24,123,ok,2.7800000680144876e-05,995,
impl_4,24,123,ok,0.0012702000021818094,995,
impl_1,24,126,ok,4.89658739999868,1049,
impl_2,24,126,ok,0.0007112000021152198,1049,
impl_3,24,126,ok,1.8800004909280688e-05,1040,
impl_4,24,126,ok,0.0008661999963806011,1049,
impl_1,24,106,ok,5.013852600000973,804,
impl_2,24,106,ok,0.0007145999989006668,804,
impl_3,24,106,ok,2.149999636458233e-05,804,
impl_4,24,106,ok,0.0007477999970433302,804,
